,Names,Price,Locations,Links
0,2009 sym simply 50,"C$2,000","Gatineau, QC",https://www.facebook.com/marketplace/item/206030314871900/?ref=search&referral_code=marketplace_search&referral_story_type=post
1,rallyarmor breast cancer mudflaps 2015+ wrx/sti,C$120,"Ottawa, ON",https://www.facebook.com/marketplace/item/970139760245664/?ref=search&referral_code=marketplace_search&referral_story_type=post
2,party raft,C$150,"The Nation, ON",https://www.facebook.com/marketplace/item/562680458299416/?ref=search&referral_code=marketplace_search&referral_story_type=post
3,1920s-1930s fenders,C$200,"Ottawa, ON",https://www.facebook.com/marketplace/item/345174654031686/?ref=search&referral_code=marketplace_search&referral_story_type=post
4,off road hoverboard 8.5 inch wheel,C$399,"Ottawa, ON",https://www.facebook.com/marketplace/item/817353895592140/?ref=search&referral_code=marketplace_search&referral_story_type=post
5,keurig pod holder,C$5,"Ottawa, ON",https://www.facebook.com/marketplace/item/281809426741706/?ref=search&referral_code=marketplace_search&referral_story_type=post
6,onewheel pint,"C$1,100","Joliette, QC",https://www.facebook.com/marketplace/item/921331021857283/?ref=search&referral_code=marketplace_search&referral_story_type=post
7,onewheelxr with fendre1700,"C$1,700","Beauharnois, QC",https://www.facebook.com/marketplace/item/480122180179819/?ref=search&referral_code=marketplace_search&referral_story_type=post
8,one wheel + xr,"C$2,600","St-Félix-de-Valois, QC",https://www.facebook.com/marketplace/item/266291082291749/?ref=search&referral_code=marketplace_search&referral_story_type=post
9,pneu pour onewheel 5.5/6,C$145,"Oka, QC",https://www.facebook.com/marketplace/item/1120006868768076/?ref=search&referral_code=marketplace_search&referral_story_type=post
10,bouton protecteur on/off pour onewheel xr,C$12,"Montréal, QC",https://www.facebook.com/marketplace/item/1012626859351206/?ref=search&referral_code=marketplace_search&referral_story_type=post
11,onewheel,"C$1,000","Montréal, QC",https://www.facebook.com/marketplace/item/1615757395426358/?ref=search&referral_code=marketplace_search&referral_story_type=post
12,pinewheel crystal,C$500,"Lac-Tremblant-Nord, QC",https://www.facebook.com/marketplace/item/3271515403078461/?ref=search&referral_code=marketplace_search&referral_story_type=post
13,one wheel pint « good condition «,"C$1,400","Montréal, QC",https://www.facebook.com/marketplace/item/914637546080209/?ref=search&referral_code=marketplace_search&referral_story_type=post
14,onewheel + xr,"C$2,000","Petawawa, ON",https://www.facebook.com/marketplace/item/635984677815107/?ref=search&referral_code=marketplace_search&referral_story_type=post
15,stroller car seat adapter,C$40,"Pembroke, ON",https://www.facebook.com/marketplace/item/711951723099947/?ref=search&referral_code=marketplace_search&referral_story_type=post
16,trotinette électrique mercane 2019 adulte,C$800,"Montréal, QC",https://www.facebook.com/marketplace/item/653146616092425/?ref=search&referral_code=marketplace_search&referral_story_type=post
17,stock onewheel pint tire,C$50,"Montréal, QC",https://www.facebook.com/marketplace/item/308561520857532/?ref=search&referral_code=marketplace_search&referral_story_type=post
18,box of onewheel xr accessories,C$250,"Montréal, QC",https://www.facebook.com/marketplace/item/1835098376698740/?ref=search&referral_code=marketplace_search&referral_story_type=post
19,onewheel pint,"€1,500","Montréal, QC",https://www.facebook.com/marketplace/item/601587744595777/?ref=search&referral_code=marketplace_search&referral_story_type=post
20,"new in box self balance one wheel scooter ,summer eclectic unicycle","C$1,700","Montréal, QC",https://www.facebook.com/marketplace/item/591236225262037/?ref=search&referral_code=marketplace_search&referral_story_type=post
21,vintage maritime float light buoy,C$125,"North Kawartha, ON",https://www.facebook.com/marketplace/item/542446470186972/?ref=search&referral_code=marketplace_search&referral_story_type=post
22,canton oil pan,C$50,"Belleville, ON",https://www.facebook.com/marketplace/item/400369884827181/?ref=search&referral_code=marketplace_search&referral_story_type=post
23,sub woofer pour cinema maison,C$40,"Laval, QC",https://www.facebook.com/marketplace/item/881451542785144/?ref=search&referral_code=marketplace_search&referral_story_type=post
24,centrios wireless speaker,C$25,"Belleville, ON",https://www.facebook.com/marketplace/item/237713418294394/?ref=search&referral_code=marketplace_search&referral_story_type=post
25,cap v6 3.5 infiniti,C$20,"Delson, QC",https://www.facebook.com/marketplace/item/847354462585591/?ref=search&referral_code=marketplace_search&referral_story_type=post
26,penny board,C$60,"Kingston, ON",https://www.facebook.com/marketplace/item/1039330586829807/?ref=search&referral_code=marketplace_search&referral_story_type=post
27,amd ryzen 5 3600 6-core,C$350,"Belleville, ON",https://www.facebook.com/marketplace/item/351604190034198/?ref=search&referral_code=marketplace_search&referral_story_type=post
28,onewheel pint,"C$1,550","Montréal, QC",https://www.facebook.com/marketplace/item/1126018117927063/?ref=search&referral_code=marketplace_search&referral_story_type=post
29,mepo electric longboard/skateboard,C$400,"Wollaston, ON",https://www.facebook.com/marketplace/item/320243406548798/?ref=search&referral_code=marketplace_search&referral_story_type=post
30,pieces de moto,C$600,"Boisbriand, QC",https://www.facebook.com/marketplace/item/596160408222796/?ref=search&referral_code=marketplace_search&referral_story_type=post
